region;code;year;type;latitude;longitude;zone_beginning;landmark_settlement;date_beginning;area_beginning;date_end;area_total;area_forest
Ханты-Мансийский автономный округ — Югра;к-322   (11330);2000;Лесные;60.30611111111111;72.0111111111111;Авиационный мониторинг;н.п. Куть-Ях;22.04.2000;48;22.04.2000;48;27
Ханты-Мансийский автономный округ — Югра;к-29   (19038);2000;Лесные;61.51;72.75694444444444;Авиационный мониторинг;н.п. Солкино;12.05.2000;86;12.05.2000;86;6
Ханты-Мансийский автономный округ — Югра;к-59   (19238);2000;Лесные;60.803888888888885;78.53694444444444;Авиационный мониторинг;н.п. Лапчинская;14.05.2000;48;14.05.2000;48;14
Ханты-Мансийский автономный округ — Югра;к-313   (20642);2000;Лесные;60.956944444444446;71.25888888888889;Авиационный мониторинг;н.п. Лемпино;25.05.2000;48;25.05.2000;48;31
Ханты-Мансийский автономный округ — Югра;к-226   (20643);2000;Лесные;60.88305555555556;71.81194444444444;Авиационный мониторинг;н.п. Мушкины;25.05.2000;48;29.06.2000;124;22
Ханты-Мансийский автономный округ — Югра;к-132   (21024);2000;Лесные;62.95805555555556;68.78805555555556;Авиационный мониторинг;н.п. Помут;28.05.2000;83;28.05.2000;125;36
Ханты-Мансийский автономный округ — Югра;к-5   (21027);2000;Лесные;61.83888888888889;63.465;Авиационный мониторинг;н.п. Релейный;28.05.2000;48;28.05.2000;48;13
Ханты-Мансийский автономный округ — Югра;к-11   (21108);2000;Лесные;62.16;65.32305555555556;Авиационный мониторинг;н.п. СМОЛОКУРКА;29.05.2000;48;29.05.2000;48;44
Ханты-Мансийский автономный округ — Югра;к-320   (21147);2000;Лесные;62.92611111111111;68.77388888888889;Авиационный мониторинг;н.п.;30.05.2000;48;01.06.2000;143;22
Ханты-Мансийский автономный округ — Югра;к-156   (21155);2000;Лесные;62.94305555555555;68.74694444444445;Авиационный мониторинг;н.п. Помут;30.05.2000;48;30.05.2000;48;9
Ханты-Мансийский автономный округ — Югра;к-135   (21210);2000;Лесные;62.05111111111111;65.83805555555556;Авиационный мониторинг;н.п.;31.05.2000;89;31.05.2000;89;80
Ханты-Мансийский автономный округ — Югра;к-23   (21592);2000;Лесные;63.21888888888889;66.59388888888888;Авиационный мониторинг;н.п. Лыхма;03.06.2000;48;03.06.2000;48;36
Ханты-Мансийский автономный округ — Югра;к-237   (21593);2000;Лесные;62.46194444444445;65.58388888888888;Авиационный мониторинг;н.п. Ламский;03.06.2000;92;03.06.2000;92;4
Ханты-Мансийский автономный округ — Югра;к-27   (21691);2000;Лесные;62.528888888888886;73.90194444444445;Космический мониторинг 2 уровня (неохраняемая терр.);н.п. Ингуягун;04.06.2000;48;04.06.2000;48;1
Ханты-Мансийский автономный округ — Югра;к-324   (21692);2000;Лесные;61.60388888888889;73.83999999999999;Авиационный мониторинг;н.п. ФЕДОРОВСКИЙ;04.06.2000;84;04.06.2000;84;13
Ханты-Мансийский автономный округ — Югра;к-55   (21772);2000;Лесные;62.35;75.85305555555556;Космический мониторинг 2 уровня (неохраняемая терр.);н.п. Повховский;05.06.2000;48;28.06.2000;127;1
Ханты-Мансийский автономный округ — Югра;к-42   (22214);2000;Лесные;60.801944444444445;78.53111111111112;Авиационный мониторинг;н.п. Лапчинская;10.06.2000;48;30.07.2000;112;47
Ханты-Мансийский автономный округ — Югра;к-273   (22560);2000;Лесные;58.8;65.94305555555556;Авиационный мониторинг;н.п. КУМИНСКИЙ;12.06.2000;48;12.06.2000;48;44
